ศก.	NN	B	B_CLS
โลก	NN	O	I_CLS
ทรุด	VV	O	I_CLS
อัญมณีซบ	NN	O	I_CLS
_	PU	O	I_CLS
รุก	VV	O	I_CLS
ตลาด	NN	O	I_CLS
ใหม่	VV	O	I_CLS
ส่ง	VV	O	I_CLS
ออก	AV	O	I_CLS
ยัง	AX	O	I_CLS
โต	VV	O	E_CLS

นาง	NN	B_TTL	B_CLS
วิลาวัณย์	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
อติชาติ	NN	E_PER	I_CLS
_	PU	O	I_CLS
ผู้	FX	B_DES	I_CLS
อำนวยการ	VV	I_DES	I_CLS
สถาบัน	NN	B_ORG	I_CLS
วิจัย	VV	I_ORG	E_CLS
และ	CC	I_ORG	B_CLS
พัฒนา	VV	I_ORG	I_CLS
อัญมณี	NN	I_ORG	E_CLS
และ	CC	I_ORG	B_CLS
เครื่อง	NN	I_ORG	I_CLS
ประดับ	VV	I_ORG	I_CLS
แห่ง	PS	I_ORG	I_CLS
ชาติ	NN	E_ORG	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
องค์การ	NN	I_ORG	I_CLS
มหาชน	NN	E_ORG	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
เปิดเผย	VV	O	I_CLS
ว่า	CC	O	I_CLS
_	PU	O	I_CLS
ธุรกิจ	NN	O	I_CLS
ใน	PS	O	I_CLS
กลุ่ม	NN	B_ORG	I_CLS
อุตสาหกรรม	NN	I_ORG	I_CLS
อัญมณี	NN	I_ORG	I_CLS
และ	CC	I_ORG	I_CLS
เครื่อง	NN	I_ORG	I_CLS
ประดับ	VV	E_ORG	I_CLS
ชะลอ	VV	O	I_CLS
ตัว	NN	O	I_CLS
ตาม	PS	O	I_CLS
สภาพ	NN	O	I_CLS
เศรษฐกิจ	NN	O	E_CLS
ที่	CC	O	B_CLS
ค่อนข้าง	AX	O	I_CLS
ซบเซา	VV	O	E_CLS
_	PU	O	O
เนื่อง	CC	O	B_CLS
ด้วย	CC	O	I_CLS
ประเทศ	NN	O	I_CLS
คู่	NN	O	I_CLS
ค้า	VV	O	I_CLS
ส่วนใหญ่	NN	O	I_CLS
ได้รับ	VV	O	I_CLS
ผล	NN	O	I_CLS
กระทบ	VV	O	I_CLS
จาก	PS	O	I_CLS
ปัญหา	NN	O	I_CLS
ดังกล่าว	AJ	O	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
ยอด	NN	O	I_CLS
การ	FX	O	I_CLS
ส่ง	VV	O	I_CLS
ออก	AV	O	I_CLS
ช่วง	NN	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
เดือน	CL	E_MEA	I_CLS
แรก	NU	O	I_CLS
ของ	PS	O	I_CLS
ปี	NN	O	I_CLS
นี้	AJ	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
ไม่	NG	O	I_CLS
รับ	VV	O	I_CLS
รวม	VV	O	I_CLS
ทองคำ	NN	O	E_CLS
ที่	CC	O	B_CLS
ยัง	AX	O	I_CLS
ไม่	NG	O	I_CLS
ได้	AX	O	I_CLS
ขึ้น	VV	O	I_CLS
รูป	NN	O	E_CLS
หรือ	CC	O	B_CLS
ทองคำ	NN	O	I_CLS
กึ่ง	VV	O	I_CLS
สำเร็จรูป	VV	O	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
มี	VV	O	I_CLS
มูลค่า	NN	O	I_CLS
_	PU	O	I_CLS
52,764.72	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
ล้าน	NU	I_MEA	I_CLS
บาท	CL	E_MEA	I_CLS
_	PU	O	I_CLS
ลด	VV	O	I_CLS
ลง	AV	O	I_CLS
จาก	PS	O	I_CLS
ช่วง	NN	O	I_CLS
เดียว	NU	O	I_CLS
กัน	PR	O	I_CLS
ปี	NN	O	I_CLS
ก่อน	AJ	O	E_CLS
ที่	CC	O	B_CLS
มี	VV	O	I_CLS
มูลค่า	NN	O	I_CLS
_	PU	O	I_CLS
65,376.26	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
ล้าน	NU	I_MEA	I_CLS
บาท	CL	E_MEA	E_CLS

ดังนั้น	CC	O	B_CLS
_	PU	O	I_CLS
ต้อง	AX	O	I_CLS
รุก	VV	O	I_CLS
ตลาด	NN	O	I_CLS
ประเทศ	NN	O	I_CLS
ใหม่	VV	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
มาก	VV	O	I_CLS
ขึ้น	AV	O	E_CLS
_	PU	O	O
เพราะ	CC	O	B_CLS
การ	FX	O	I_CLS
ส่ง	VV	O	I_CLS
ออก	AV	O	I_CLS
ค่อนข้าง	AX	O	I_CLS
ดี	VV	O	E_CLS
_	PU	O	O
เช่น	CC	O	B_CLS
_	PU	O	O
สหรัฐอาหรับเอมิเรตส์	NN	B_ORG	B_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ตลาด	NN	O	I_CLS
เครื่อง	NN	O	I_CLS
ประดับ	VV	O	I_CLS
ทอง	NN	O	I_CLS
_	PU	O	I_CLS
